make all && bin/test_stats --gtest_filter=Stats.Opt
mkdir -p `dirname tmp/test_stats.cpp.d`
c++ -pthread -Iinclude -g -O2 -std=c++17 -fPIC -Ilib/googletest-1.8.1/googletest/include -Ilib/googletest-1.8.1/googlemock/include -MM -MT 'tmp/test_stats.cpp.o' src/test_stats.cpp > tmp/test_stats.cpp.d
mkdir -p `dirname tmp/test_stats.cpp.o`
c++ -pthread -Iinclude -g -O2 -std=c++17 -fPIC -Ilib/googletest-1.8.1/googletest/include -Ilib/googletest-1.8.1/googlemock/include -c -o tmp/test_stats.cpp.o src/test_stats.cpp
mkdir -p `dirname bin/test_stats`
c++ -pthread -Iinclude -g -O2 -std=c++17 -fPIC -Ilib/googletest-1.8.1/googletest/include -Ilib/googletest-1.8.1/googlemock/include -o bin/test_stats tmp/test_stats.cpp.o tmp/messenger.cpp.o tmp/rng.cpp.o tmp/deck.cpp.o tmp/hello.cpp.o tmp/search.cpp.o tmp/card.cpp.o  lib/libgooglemock-1.8.1.so lib/libgoogletest-1.8.1.so
Note: Google Test filter = Stats.Opt
[==========] Running 1 test from 1 test case.
[----------] Global test environment set-up.
[----------] 1 test from Stats
[ RUN      ] Stats.Opt
n,cipherZth,cipherOffset,cutZth,cutOffset,cipherMean,cipherSd,cipher2Mean,cipher2Sd,cutMean,cutSd,cut2Mean,cut2Sd,xyMean,xySd
10,0,-1,3,4,1.51992,5.52707,33.3297,8.39737,0.698194,3.97254,65.5408,3.52493,66.4425,5.45715
10,0,-1,3,5,1.31337,1.70149,30.8259,2.54322,1.11534,1.89875,33.3222,1.66753,33.9895,1.45739
10,0,-1,3,35,1.06898,1.73383,31.6094,3.35591,1.13748,1.88173,33.5483,1.88184,34.4984,2.04955
10,0,-1,3,36,-0.423108,2.08036,34.061,3.08943,0.474852,3.49683,65.652,6.68698,67.1926,3.72312
10,0,-1,3,37,-0.379098,3.5584,34.7197,10.8313,0.725839,2.43205,65.021,7.02801,66.4738,4.41225
10,0,-1,3,38,-0.891708,3.47849,32.654,5.87606,-1.2241,0.854033,66.2116,8.52554,65.2856,2.61043
10,0,-1,3,39,-0.231028,4.33009,63.6392,6.43359,0.7848,5.86224,69.1362,9.60753,70.7415,12.4873
10,0,-1,4,-1,0.668388,1.70076,65.6144,1.07931,-0.902374,0.839764,324.667,0.117234,324.816,0.150325
10,0,-1,4,0,-1.24362,0.724089,64.7584,2.2167,-2.91548,4.21468e-08,2991.03,nan,324.486,0.0374191
10,0,-1,4,1,1.13061,3.2571,50.5696,3.19682,2.35902,5.71658,330.818,0.548254,67.2685,4.54372
10,0,-1,4,2,0.371761,0.51585,30.9519,0.962366,0.0131017,1.72272,330.497,0.312663,64.6815,0.507473
10,0,-1,4,3,0.170263,0.363576,31.509,4.93661,1.31155,2.12252,330.193,0.181496,64.6213,3.15246
10,0,-1,4,4,2.04428,13.5186,36.2496,28.0596,-1.05641,1.48222,332.232,9.10493,68.7409,23.45
10,0,-1,4,5,-0.346761,2.51082,29.3277,5.64426,-0.371721,2.00345,324.697,0.431328,32.0132,5.35321
10,0,-1,4,35,0.745286,3.69701,32.7494,10.2425,1.82692,5.74845,325.485,1.6465,37.6257,11.4497
10,0,-1,4,36,4.08872,5.38965,38.7794,8.83411,4.88708,5.3085,331.152,0.907961,69.5042,7.24655
10,0,-1,4,37,-1.87842,0.187178,30.2375,1.66127,-1.85917,0.248241,330.08,0.279835,63.7499,1.72136
10,0,-1,4,38,-0.585726,0.919037,30.5822,2.61544,-0.828977,0.860167,330.378,0.518573,64.179,2.21384
10,0,-1,4,39,0.125193,3.37738,59.3118,6.8835,-0.98366,1.02027,330.681,0.403744,65.0603,5.23048
10,0,-1,5,-1,-0.652351,1.86624,65.227,1.64707,-2.91548,4.21468e-08,2991.03,nan,324.571,0.314757
10,0,-1,5,0,-1.2619,0.488435,64.6793,3.02207,-1.15915,0.771234,324.549,0.216516,324.584,0.194527
10,0,-1,5,1,1.24658,2.00047,50.5414,7.13065,2.04245,2.86712,325.1,0.585771,67.2691,4.95336
10,0,-1,5,2,2.10097,2.41205,33.0198,4.75004,0.538123,2.77479,324.866,1.21239,66.3663,2.6003
10,0,-1,5,3,-0.506842,0.434639,32.1628,1.06991,-0.972668,0.666335,324.609,0.111933,64.7755,1.37993
10,0,-1,5,4,-0.630921,6.00384,34.4174,13.5594,-0.800968,2.79519,325.117,2.6101,65.6298,6.92114
10,0,-1,5,5,0.71363,0.482461,28.5182,5.16418,0.503187,0.485711,324.589,0.24041,31.6155,1.12838
10,0,-1,5,35,0.666773,0.517341,28.4969,5.16425,0.528248,0.4587,324.586,0.242199,31.6291,1.1236
10,0,-1,5,36,-0.568366,1.61052,32.6654,2.34373,0.781253,3.09413,324.593,0.174824,64.8295,3.16278
10,0,-1,5,37,1.00111,2.80694,33.2175,0.186196,-1.60177,0.816587,324.538,0.104683,64.3126,1.97348
10,0,-1,5,38,3.3707,4.4654,36.3737,10.9442,4.7578,1.99426,325.473,0.850116,66.9831,4.93436
10,0,-1,5,39,2.1485,2.71424,61.5418,2.93929,3.60374,2.07535,325.307,0.461218,67.8471,0.587985
10,0,0,0,-1,1.23707,2.0198,67.101,3.10513,1.87953,2.98169,324.942,0.569917,325.159,0.824113
10,0,0,0,0,-1.10305,0.169012,324.512,0.00713297,-1.10305,0.169012,324.512,0.00713297,2991.03,0.0010376
10,0,0,0,1,-0.0896345,6.04506,50.165,7.70084,-0.130199,3.86427,65.6703,8.76316,330.392,1.58783
10,0,0,0,2,2.16588,6.40525,33.2207,9.96016,0.659154,3.25463,66.5325,5.98214,330.745,0.959161
10,0,0,0,3,0.0124839,3.21902,31.6631,3.43064,-0.254966,2.42083,65.3253,1.89717,330.616,0.792047
10,0,0,0,4,1.72946,3.67671,36.0288,6.85227,2.12664,3.49676,69.2715,7.52473,331.097,1.54145
10,0,0,0,5,1.0039,3.2546,32.7915,4.8229,-1.37998,1.19232,35.1331,6.4671,324.843,0.467062
10,0,0,0,35,-0.812598,0.853869,30.3823,3.39745,-1.63605,0.296344,32.4831,3.27649,324.618,0.184339
10,0,0,0,36,-0.961913,0.168258,30.9146,0.170526,-0.274257,0.15788,64.236,0.146047,330.174,0.0455462
10,0,0,0,37,0.303641,1.61622,32.1743,4.13292,0.429678,1.15082,64.5146,1.78803,330.205,0.593028
10,0,0,0,38,-0.254252,0.889828,32.1651,7.83547,0.883824,1.98069,66.0133,3.01742,330.357,1.13499
10,0,0,0,39,-0.558268,1.05518,60.2878,1.4755,0.9132,2.68421,66.8427,3.76706,330.531,0.534199
10,0,0,1,-1,-1.24803,0.299578,324.532,0.105388,-1.24803,0.299578,324.532,0.105388,2991.03,0.00124637
10,0,0,1,0,-0.606762,0.702105,55.4624,0.75205,-0.760675,0.792546,324.718,0.0872793,324.587,0.0520518
10,0,0,1,1,3.60489,4.57056,62.8611,6.32263,1.04925,3.98702,65.5807,11.0431,325.823,3.18328
10,0,0,1,2,0.423623,1.1608,67.3566,1.90019,2.94268,2.94367,60.9107,4.52628,324.883,0.266676
10,0,0,1,3,1.15689,3.53097,70.039,10.9364,1.75028,4.16013,64.3211,3.15089,325.237,0.708368
10,0,0,1,4,127.612,598.328,480.738,1972.58,83.5819,398.993,353.005,1384.13,603.435,1331.91
10,0,0,1,5,1.93564,5.96008,69.5074,7.71846,2.18796,4.58846,33.7309,11.1852,325.467,1.65756
10,0,0,1,35,3.80764,6.59502,70.6146,7.18712,3.15417,4.52068,35.6813,11.713,325.791,1.86907
10,0,0,1,36,0.740842,6.10335,68.7085,3.94914,1.85902,5.62168,64.0199,6.34939,324.997,1.30161
